"SAGDP5N Subsidies 1/"
"Subsidies: All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"28000","Mississippi",-269209,-345872,-497121,-521743,-1109276,-547450,-639835,-552043,-924994,-731501,-2071910,-856062,-1049202,-790564,-680468,-443520,-451501,-411062,-390297,-536990,-525434,-581764,-812676,-4520639
"29000","Missouri",-609347,-717621,-984536,-1108458,-1261789,-794384,-984557,-890262,-1197167,-982125,-883884,-1039108,-1123648,-1026900,-1144936,-1107900,-1207766,-1245188,-963793,-1171199,-1158407,-1320455,-1847272,-12534023
"30000","Montana",-256616,-362462,-486001,-484297,-507074,-321723,-405624,-342245,-458759,-357688,-351722,-403491,-414530,-429745,-443022,-387515,-431630,-337932,-293597,-384972,-498494,-491855,-487323,-2508397
"31000","Nebraska",-510515,-811936,-1340831,-1344274,-1358526,-666030,-852399,-867264,-1485580,-959813,-725161,-838331,-805566,-757872,-829240,-845068,-1039090,-1052408,-1095405,-1167567,-1129663,-1053566,-1498976,-6033832
"32000","Nevada",-156145,-156578,-164319,-164496,-304196,-212309,-296475,-250561,-302790,-261245,-267244,-284735,-324593,-273041,-304607,-274300,-279919,-341502,-344977,-349136,-329271,-349083,-385217,-6409852
"33000","New Hampshire",-74890,-73086,-84582,-83784,-99108,-112155,-136847,-146490,-167839,-142420,-131718,-132140,-169102,-174010,-197606,-179500,-173391,-165368,-159249,-164853,-162606,-157237,-159509,-3019591
"34000","New Jersey",-1128760,-1042833,-1104248,-1062086,-1215201,-1209122,-1368676,-1385319,-1557444,-1393201,-1302802,-1407604,-1641278,-1569542,-1776127,-1656265,-1638469,-1648608,-1594647,-1745142,-1633040,-1634411,-1689249,-26540746
"35000","New Mexico",-125952,-144188,-181949,-166092,-199966,-167882,-201912,-192020,-273982,-223143,-198978,-211684,-265231,-264658,-288182,-280006,-301818,-373359,-244476,-269502,-272756,-291101,-319681,-3412522
"36000","New York",-4786702,-4178558,-3956400,-3887432,-4164782,-4523902,-4832193,-4883795,-5229263,-4948104,-4722375,-5077842,-5861931,-5833383,-6402869,-6254812,-6275792,-6305946,-6434977,-6824043,-6610564,-6975281,-7155464,-64016888
"37000","North Carolina",-530526,-561665,-757327,-894944,-1006991,-883405,-1003366,-876261,-1851530,-1399883,-1245566,-1217680,-1386827,-1362934,-1492200,-1530867,-1506089,-1439354,-1188770,-1312784,-1292669,-1241919,-1546390,-18408839
"38000","North Dakota",-398163,-608091,-947335,-1121065,-989014,-492525,-742436,-600961,-939386,-631255,-639852,-953112,-824805,-1067752,-880808,-868665,-1266281,-941150,-928548,-1189599,-1190175,-1312255,-1623339,-3874895
"39000","Ohio",-896521,-989553,-1346115,-1338153,-1543788,-1172827,-1412762,-1373980,-1751396,-1527340,-1343278,-1361157,-1669324,-1667690,-1852867,-1768344,-1748228,-1575799,-1654023,-1819351,-1621097,-1710525,-2029752,-26364323
"40000","Oklahoma",-312484,-391735,-605487,-529995,-538933,-458617,-511715,-379522,-512839,-442345,-457056,-503213,-534244,-561622,-645378,-654395,-734058,-1218291,-826836,-658722,-631764,-691298,-804914,-7337431
"41000","Oregon",-394900,-409753,-447169,-461168,-490250,-459521,-525491,-480073,-588430,-546834,-525840,-546508,-633675,-654004,-666492,-637035,-644807,-632573,-656792,-702864,-686367,-709829,-763672,-9611425
"42000","Pennsylvania",-1230514,-1131262,-1211044,-1233715,-1367505,-1421665,-1651153,-1596352,-1828480,-1716056,-1564537,-1595901,-1995063,-1961246,-2228544,-2061745,-2042666,-1944842,-1878108,-1965787,-1974723,-2035100,-2104243,-29411128
"44000","Rhode Island",-99827,-89983,-98430,-96788,-115093,-117695,-134258,-138130,-169260,-160812,-153392,-159831,-193053,-194237,-207224,-181575,-181151,-179385,-175426,-189575,-171227,-169834,-169289,-2555151
"45000","South Carolina",-221569,-241766,-320840,-334299,-349979,-308611,-391387,-357956,-574934,-488952,-464054,-442274,-542199,-511333,-570462,-532549,-522142,-506969,-466161,-524562,-515072,-499522,-590380,-7858630
"46000","South Dakota",-295446,-438002,-749255,-760636,-754986,-415033,-614760,-511094,-883757,-542107,-528810,-697791,-623815,-711238,-727184,-811910,-895237,-1022590,-908479,-1003279,-1029308,-1194673,-1391381,-3611906
"47000","Tennessee",-373593,-405076,-511606,-576417,-720031,-542056,-621762,-557370,-949132,-737955,-736846,-651215,-857902,-753901,-902042,-855590,-821342,-773724,-702033,-761589,-785034,-761657,-962363,-14122767
"48000","Texas",-1820274,-2145560,-3014000,-2738958,-3556435,-2488632,-3244358,-2570569,-3667832,-3240070,-2959661,-2751762,-3525681,-2988263,-3462735,-3389133,-3736731,-3755883,-3434383,-3596998,-3570136,-3715498,-4596212,-59161653
"49000","Utah",-145506,-151316,-170935,-169625,-243477,-207862,-259553,-225337,-277190,-240852,-237435,-259616,-317186,-311734,-347377,-351738,-341785,-375585,-346098,-358786,-375682,-399298,-413546,-7142935
"50000","Vermont",-43190,-39279,-49633,-64018,-52133,-81408,-81310,-76970,-94795,-90312,-78595,-75434,-120077,-99559,-100601,-99121,-93354,-89948,-88664,-94949,-87243,-93777,-96022,-1548006
"51000","Virginia",-546998,-543803,-635059,-686903,-810876,-803403,-932464,-813037,-1098605,-990262,-920616,-970715,-1078356,-1064203,-1162749,-1191550,-1171927,-1149919,-1086008,-1147402,-1144675,-1129257,-1204901,-16972487
"53000","Washington",-770045,-825120,-872788,-933912,-1022447,-916016,-1059011,-1018120,-1153264,-1028460,-1031154,-1100197,-1343079,-1366813,-1412524,-1335419,-1340888,-1286638,-1352322,-1511102,-1539453,-1591970,-1661695,-19061468
"54000","West Virginia",-78128,-68398,-81400,-95088,-87036,-92934,-108640,-113024,-137486,-123384,-114769,-110277,-135612,-125745,-157254,-160392,-153396,-143686,-136357,-142360,-130968,-126753,-133592,-2518063
"55000","Wisconsin",-513594,-544055,-803294,-871246,-760198,-689551,-877383,-727369,-1065710,-874166,-663682,-706563,-1003917,-849149,-935622,-957080,-930776,-801714,-913776,-909854,-791746,-923415,-1127212,-12563734
"56000","Wyoming",-37363,-43038,-56735,-53880,-68381,-83098,-75236,-63883,-157174,-70239,-68611,-77510,-81351,-82330,-86522,-89190,-91389,-174596,-99194,-88135,-94712,-89521,-95658,-1052727
"Legend / Footnotes:"
"1/ Subsidies is in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS)."
"Last updated: October 1, 2021-- new statistics for 2020; revised statistics for 1997-2019."
